87812,ST AUGUSTINE,FL,-81.33333,29.88333,20
80025,ADAMS BEACH,FL,-83.63333,29.88333,
81361,CARRABELLE TOWER,FL,-84.63333,29.86667,36
81356,CARRABELLE 1 NNW,FL,-84.66667,29.86667,10
87826,ST AUGUSTINE LIGHTHOUSE,FL,-81.2883,29.8858,12
88529,STARKE,FL,-82.1163,29.9381,150
83763,HAMPTON SPRINGS,FL,-83.65,29.93333,26
81218,CAMP BLANDING,FL,-81.98333,29.98333,190
80975,BRANFORD,FL,-82.9108,29.9625,30
88704,SURF,FL,-84.41667,29.98333,10
83599,GREEN COVE SPRINGS,FL,-81.7,30,
86828,PANACEA 1 S,FL,-84.485,29.99889,6
3869,EGLIN RNG #52,FL,-86,30,
87440,RAIFORD STATE PRISON,FL,-82.1928,30.0678,120
85539,MAYO,FL,-83.1819,30.1063,65
87025,PERRY,FL,-83.57417,30.09861,45
87950,SANBORN TOWER,FL,-84.6,30.06667,39
13846,TYNDALL AFB,FL,-85.58333,30.06667,17
87867,ST MARKS 5 SSE,FL,-84.16667,30.1,10
89566,WEWAHITCHKA,FL,-85.2041,30.1191,42
86846,PANAMA CITY ANDREWS SP,FL,-85.73333,30.13333,13
93838,LAKE CITY NAS,FL,-82.56667,30.18333,
86841,PANAMA CITY 2,FL,-85.7,30.16667,15
86836,PANAMA CITY,FL,-85.7,30.16667,10
93837,JACKSONVILLE NAS,FL,-81.66667,30.23333,20
93832,JACKSONVILLE CECIL FIELD NAS,FL,-81.88333,30.21667,83
88094,SECOTAN,FL,-83.65,30.2,49
88290,SMITH CREEK,FL,-84.66667,30.2,60
86842,PANAMA CITY 5N,FL,-85.6605,30.2491,5
3882,PANAMA CITY BAY COUNTY AP,FL,-85.68278,30.21194,21
84366,JACKSONVILLE BEACH,FL,-81.3927,30.2875,10
84368,JACKSONVILLE BEACH EL VERDE YCT,FL,-81.41667,30.28333,
83470,GLEN ST MARY 1 W,FL,-82.1856,30.2717,128
85099,LIVE OAK,FL,-82.965,30.2889,120
82391,DOWLING PARK 1 W,FL,-83.2594,30.2497,54
53860,JACKSONVILLE CRAIG MUNICIPAL AP,FL,-81.5147,30.3361,41
93852,JACKSONVILLE,FL,-81.65,30.33333,
88720,SUWANNEE VALLEY EXPERIMENT STN,FL,-82.9,30.3025,163
88074,SEAGROVE BEACH,FL,-86.13333,30.31667,30
86995,PENSACOLA BEACH,FL,-87.13333,30.33333,10
1J5,SANTA ROSA GULF BREEZE,FL,-87.25,30.31667,
63865,ST JOHNS LIGHTSHIP,FL,-81.3,30.4,
3853,MAYPORT PILOT STN,FL,-81.41667,30.4,16
